accession,localization
Q86WJ1,Chromatin associated
Q15021,Chromatin associated
P35659,Chromatin associated
P62805,Chromatin associated
P09429,Chromatin associated
Q03252,Chromatin associated
Q14676,Chromatin associated
Q96T58,Chromatin associated
P09874,Chromatin associated
Q9Y5B9,Chromatin associated
P11388,Chromatin associated
P53396,Cytosol
Q9NRN7,Cytosol
O95671,Cytosol
P08243,Cytosol
Q8TDN4,Cytosol
P07384,Cytosol
P55212,Cytosol
P06493,Cytosol
O75131,Cytosol
O15371,Cytosol
Q9H9T3,Cytosol
Q13158,Cytosol
P49327,Cytosol
P06744,Cytosol
Q14C86,Cytosol
P52565,Cytosol
P48637,Cytosol
Q15181,Cytosol
Q01813,Cytosol
P14618,Cytosol
P07195,Cytosol
Q04760,Cytosol
P53602,Cytosol
Q15102,Cytosol
Q13310,Cytosol
Q9UKK3,Cytosol
Q8WUM4,Cytosol
Q9UBV8,Cytosol
P00558,Cytosol
Q9NRX4,Cytosol
P22061,Cytosol
P24666,Cytosol
P30041,Cytosol
Q06203,Cytosol
P22102,Cytosol
P22234,Cytosol
P31939,Cytosol
P06737,Cytosol
P17812,Cytosol
P23526,Cytosol
O43175,Cytosol
Q9Y617,Cytosol
P00441,Cytosol
P19623,Cytosol
P52788,Cytosol
P49588,Cytosol
P14868,Cytosol
P07814,Cytosol
P41250,Cytosol
P56192,Cytosol
P47897,Cytosol
P49591,Cytosol
P26639,Cytosol
P54577,Cytosol
O75347,Cytosol
P17987,Cytosol
Q15185,Cytosol
Q92734,Cytosol
Q9Y490,Cytosol
Q93008,Cytosol
P55263,Cytosol/Nucleus
P39687,Cytosol/Nucleus
Q6FI81,Cytosol/Nucleus
P06132,Cytosol/Nucleus
Q16531,Cytosol/Nucleus
Q9UNN5,Cytosol/Nucleus
P49773,Cytosol/Nucleus
P49321,Cytosol/Nucleus
P19338,Cytosol/Nucleus
Q53EL6,Cytosol/Nucleus
P48147,Cytosol/Nucleus
P17980,Cytosol/Nucleus
P20618,Cytosol/Nucleus
P49721,Cytosol/Nucleus
P61289,Cytosol/Nucleus
Q9UBT2,Cytosol/Nucleus
Q9BXP5,Cytosol/Nucleus
Q07955,Cytosol/Nucleus
Q92973,Cytosol/Nucleus
Q96S55,Cytosol/Nucleus
P55060,Cytosol/Nucleus
O43592,Cytosol/Nucleus
O75129,Endosome
O75976,Endosome
Q15075,Endosome
P20645,Endosome
Q9UL25,Endosome
P51149,Endosome
P61225,Endosome
Q96L92,Endosome
P02786,Endosome
P61421,Endosome
Q9UBQ0,Endosome
Q8ND25,Endosome
O00767,ER
Q96HY6,ER
Q96DZ1,ER
O43909,ER
P37268,ER
Q8NBJ5,ER
Q7Z4H8,ER
O60337,ER
Q9P0S3,ER
Q8NBL1,ER
Q5H8A4,ER
Q15293,ER
Q9HBH5,ER
Q9UGP8,ER
O60613,ER
O95470,ER
P61009,ER
Q8TCJ2,ER
Q9NZ01,ER
O14656,ER
Q9Y679,ER
P27797,ER
O43852,ER
P27824,ER
P14625,ER
Q9BS26,ER
Q9H9S5,ER
Q96E22,ER
P30101,ER
P13667,ER
Q9H6H4,ER
Q9P2E9,ER
Q6P1M0,ER
Q86TM6,ER
Q8NBM4,ER
Q9NYU2,ER
P98194,Golgi
O94766,Golgi
O43505,Golgi
Q9UBV7,Golgi
Q9P2E5,Golgi
Q10471,Golgi
Q86SF2,Golgi
Q8TBA6,Golgi
Q14789,Golgi
O95249,Golgi
Q92896,Golgi
Q9UK23,Golgi
Q9NXS2,Golgi
Q8TB61,Golgi
Q9NTJ5,Golgi
O15126,Golgi
O14662,Golgi
O75063,Golgi
Q969X5,Golgi
Q92520,Golgi
P49257,Golgi
Q8WVM8,Golgi
O15260,Golgi
Q9BTV4,Golgi
Q9HAV0,Lysosome
P06280,Lysosome
P15848,Lysosome
P07339,Lysosome
Q9UBR2,Lysosome
P51797,Lysosome
O75503,Lysosome
O75165,Lysosome
P13284,Lysosome
P04062,Lysosome
P15586,Lysosome
P07686,Lysosome
P11279,Lysosome
Q07954,Lysosome
P10253,Lysosome
P11717,Lysosome
Q8NHP8,Lysosome
P11117,Lysosome
Q9UMR5,Lysosome
P07602,Lysosome
Q14108,Lysosome
P38606,Lysosome
Q9NRK6,Mitochondrion
P49748,Mitochondrion
O14561,Mitochondrion
P05091,Mitochondrion
P36542,Mitochondrion
P61604,Mitochondrion
P00403,Mitochondrion
P20674,Mitochondrion
P10606,Mitochondrion
P24311,Mitochondrion
P31327,Mitochondrion
P08574,Mitochondrion
O43169,Mitochondrion
P00367,Mitochondrion
P21912,Mitochondrion
P55084,Mitochondrion
O75616,Mitochondrion
P13804,Mitochondrion
Q6NVY1,Mitochondrion
Q16891,Mitochondrion
P27144,Mitochondrion
O95202,Mitochondrion
Q96RQ3,Mitochondrion
Q96EY8,Mitochondrion
Q10713,Mitochondrion
Q9Y6C9,Mitochondrion
Q13505,Mitochondrion
O75414,Mitochondrion
O95168,Mitochondrion
O43181,Mitochondrion
O43920,Mitochondrion
O75251,Mitochondrion
P49821,Mitochondrion
Q13423,Mitochondrion
P04181,Mitochondrion
Q02218,Mitochondrion
P11177,Mitochondrion
Q9H6K4,Mitochondrion
Q16822,Mitochondrion
Q96EY7,Mitochondrion
Q9Y3E5,Mitochondrion
Q8WUK0,Mitochondrion
P11498,Mitochondrion
Q9BYD2,Mitochondrion
Q9BYD1,Mitochondrion
Q9H0U6,Mitochondrion
Q9BZE1,Mitochondrion
Q6NUK1,Mitochondrion
P51649,Mitochondrion
Q5JTZ9,Mitochondrion
P57105,Mitochondrion
Q9H061,Mitochondrion
P24752,Mitochondrion
P62072,Mitochondrion
Q9Y5L4,Mitochondrion
O43615,Mitochondrion
O60220,Mitochondrion
Q9Y5J9,Mitochondrion
O96008,Mitochondrion
Q9P0U1,Mitochondrion
O94826,Mitochondrion
P45880,Mitochondrion
Q9Y277,Mitochondrion
Q99798,Mitochondrion
Q9Y4W6,Mitochondrion
O95831,Mitochondrion
P25705,Mitochondrion
P06576,Mitochondrion
Q9UJS0,Mitochondrion
P13073,Mitochondrion
Q9NR28,Mitochondrion
P40939,Mitochondrion
P38646,Mitochondrion
P19367,Mitochondrion
P23919,Mitochondrion
Q53H82,Mitochondrion
P40926,Mitochondrion
O95140,Mitochondrion
Q8IXI2,Mitochondrion
Q00325,Mitochondrion
P39210,Mitochondrion
O95169,Mitochondrion
Q9H300,Mitochondrion
P31930,Mitochondrion
P22695,Mitochondrion
Q9BYC9,Mitochondrion
P82930,Mitochondrion
Q9H9B4,Mitochondrion
P21796,Mitochondrion
P28838,Nucleus
Q9NYF8,Nucleus
Q92841,Nucleus
Q9H0S4,Nucleus
P17844,Nucleus
O00148,Nucleus
P31942,Nucleus
Q9BUJ2,Nucleus
P61978,Nucleus
P14866,Nucleus
Q04637,Nucleus
Q9Y2U8,Nucleus
O15226,Nucleus
P46087,Nucleus
Q92900,Nucleus
Q9NQG5,Nucleus
P08621,Nucleus
Q9NVU7,Nucleus
Q15393,Nucleus
P23246,Nucleus
Q16629,Nucleus
P41252,Nucleus
P53999,Nucleus
P29401,Nucleus
Q15029,Nucleus
O43670,Nucleus
Q6DD87,Nucleus
P30533,PM
Q9HDC9,PM
P20020,PM
Q9BY67,PM
Q08722,PM
Q9UKJ5,PM
O96005,PM
Q8NE01,PM
Q12860,PM
P30825,PM
Q14156,PM
Q00013,PM
A0FGR8,PM
Q9Y5Y0,PM
Q8N292,PM
Q7Z2K8,PM
Q86YM7,PM
O14654,PM
P23229,PM
P06756,PM
P18084,PM
Q9BXB1,PM
Q14168,PM
O15439,PM
P49757,PM
Q13308,PM
P10586,PM
P23470,PM
Q92692,PM
Q9NP72,PM
Q15907,PM
Q96D71,PM
Q01974,PM
Q9BXP2,PM
Q9Y6M7,PM
Q9Y289,PM
Q8TAV4,PM
Q13641,PM
O95857,PM
O75695,PM
P05023,PM
P48509,PM
P35221,PM
P78310,PM
P08174,PM
Q96A65,PM
Q969P0,PM
P06213,PM
Q68D91,PM
O00159,PM
Q92859,PM
Q15286,PM
P35241,PM
O00186,PM
P62280,Ribosome 40S
P62277,Ribosome 40S
P62244,Ribosome 40S
P62249,Ribosome 40S
P62269,Ribosome 40S
P39019,Ribosome 40S
P15880,Ribosome 40S
P63220,Ribosome 40S
P62851,Ribosome 40S
P62273,Ribosome 40S
P23396,Ribosome 40S
P61247,Ribosome 40S
P46782,Ribosome 40S
P62753,Ribosome 40S
P62081,Ribosome 40S
P62241,Ribosome 40S
P46781,Ribosome 40S
P08865,Ribosome 40S
P27635,Ribosome 60S
P62906,Ribosome 60S
P62913,Ribosome 60S
P30050,Ribosome 60S
P26373,Ribosome 60S
P40429,Ribosome 60S
P61313,Ribosome 60S
P18621,Ribosome 60S
Q07020,Ribosome 60S
Q02543,Ribosome 60S
P84098,Ribosome 60S
O76021,Ribosome 60S
P35268,Ribosome 60S
P62829,Ribosome 60S
P83731,Ribosome 60S
P61353,Ribosome 60S
P46776,Ribosome 60S
P46779,Ribosome 60S
P39023,Ribosome 60S
P62899,Ribosome 60S
P62910,Ribosome 60S
P49207,Ribosome 60S
P18077,Ribosome 60S
Q9Y3U8,Ribosome 60S
P36578,Ribosome 60S
P46777,Ribosome 60S
P18124,Ribosome 60S
P62917,Ribosome 60S
P32969,Ribosome 60S
