accession,localization
O14639,Actin binding proteins 
O14639,Actin binding proteins 
O14639,Actin binding proteins 
O14639,Actin binding proteins 
O14639,Actin binding proteins 
P60709,Actin binding proteins 
P60709,Actin binding proteins 
P60709,Actin binding proteins 
P60709,Actin binding proteins 
P60709,Actin binding proteins 
P60709,Actin binding proteins 
P63261,Actin binding proteins 
P63261,Actin binding proteins 
P63261,Actin binding proteins 
P63261,Actin binding proteins 
P63261,Actin binding proteins 
P63261,Actin binding proteins 
P12814,Actin binding proteins 
P12814,Actin binding proteins 
P12814,Actin binding proteins 
P12814,Actin binding proteins 
P12814,Actin binding proteins 
P12814,Actin binding proteins 
O43707,Actin binding proteins 
O43707,Actin binding proteins 
O43707,Actin binding proteins 
O43707,Actin binding proteins 
O43707,Actin binding proteins 
O43707,Actin binding proteins 
Q05682-3,Actin binding proteins 
Q05682-3,Actin binding proteins 
Q05682-3,Actin binding proteins 
Q05682-3,Actin binding proteins 
Q05682-3,Actin binding proteins 
Q05682-3,Actin binding proteins 
Q9BR76,Actin binding proteins 
Q9BR76,Actin binding proteins 
Q9BR76,Actin binding proteins 
Q9BR76,Actin binding proteins 
Q9BR76,Actin binding proteins 
Q9BR76,Actin binding proteins 
Q14247,Actin binding proteins 
Q14247,Actin binding proteins 
Q14247,Actin binding proteins 
Q14247,Actin binding proteins 
Q14247,Actin binding proteins 
Q14247,Actin binding proteins 
Q16643,Actin binding proteins 
Q16643,Actin binding proteins 
Q16643,Actin binding proteins 
Q16643,Actin binding proteins 
Q16643,Actin binding proteins 
Q16643,Actin binding proteins 
P21333,Actin binding proteins 
P21333,Actin binding proteins 
P21333,Actin binding proteins 
P21333,Actin binding proteins 
P21333,Actin binding proteins 
P21333,Actin binding proteins 
O75369-8,Actin binding proteins 
O75369-8,Actin binding proteins 
O75369-8,Actin binding proteins 
O75369-8,Actin binding proteins 
O75369-8,Actin binding proteins 
O75369-8,Actin binding proteins 
Q8WWI1-3,Actin binding proteins 
Q8WWI1-3,Actin binding proteins 
Q8WWI1-3,Actin binding proteins 
Q8WWI1-3,Actin binding proteins 
Q8WWI1-3,Actin binding proteins 
Q8WWI1-3,Actin binding proteins 
Q6WCQ1-2,Actin binding proteins 
Q6WCQ1-2,Actin binding proteins 
Q6WCQ1-2,Actin binding proteins 
Q6WCQ1-2,Actin binding proteins 
Q6WCQ1-2,Actin binding proteins 
Q6WCQ1-2,Actin binding proteins 
P35579,Actin binding proteins 
P35579,Actin binding proteins 
P35579,Actin binding proteins 
P35579,Actin binding proteins 
P35579,Actin binding proteins 
P35579,Actin binding proteins 
O14950,Actin binding proteins 
O14950,Actin binding proteins 
