accession,localization
Q92887,Plasma membrane
Q13443,Plasma membrane
Q9H6X2,Plasma membrane
O95782,Plasma membrane
O94973,Plasma membrane
Q96CW1,Plasma membrane
P05023,Plasma membrane
P05026,Plasma membrane
P54709,Plasma membrane
P20020,Plasma membrane
P80723,Plasma membrane
P35613,Plasma membrane
Q6YHK3,Plasma membrane
P16070,Plasma membrane
P08174,Plasma membrane
P13987,Plasma membrane
P21926,Plasma membrane
P48960,Plasma membrane
P98082,Plasma membrane
Q14118,Plasma membrane
Q16832,Plasma membrane
Q14126,Plasma membrane
P00533,Plasma membrane
Q9UBC2,Plasma membrane
Q9Y4F1,Plasma membrane
O95466-2,Plasma membrane
P06241,Plasma membrane
P63092,Plasma membrane
Q8IZP9,Plasma membrane
P05362,Plasma membrane
P46940,Plasma membrane
P26006,Plasma membrane
P06756,Plasma membrane
P18084,Plasma membrane
P32004,Plasma membrane
Q9NUP9,Plasma membrane
P43121,Plasma membrane
P08581,Plasma membrane
P17342,Plasma membrane
Q9Y639,Plasma membrane
O15031,Plasma membrane
Q12913,Plasma membrane
P15151,Plasma membrane
Q01974,Plasma membrane
P53985,Plasma membrane
O15427,Plasma membrane
Q15758,Plasma membrane
P11166,Plasma membrane
Q9Y6M5,Plasma membrane
P08195,Plasma membrane
P30825,Plasma membrane
Q01650,Plasma membrane
O00161,Plasma membrane
O00186,Plasma membrane
P33897,Peroxisome
P28288,Peroxisome
P09110,Peroxisome
Q15067,Peroxisome
O00116,Peroxisome
P04040,Peroxisome
Q8WVX9,Peroxisome
O15228,Peroxisome
Q9UJ83,Peroxisome
P51659,Peroxisome
O75381,Peroxisome
Q8WUM0,Nuclear pore complex
O75694,Nuclear pore complex
Q12769,Nuclear pore complex
Q92621,Nuclear pore complex
Q8TEM1,Nuclear pore complex
P35658,Nuclear pore complex
P37198,Nuclear pore complex
Q99567,Nuclear pore complex
Q8N1F7,Nuclear pore complex
P52948,Nuclear pore complex
P49792,Nuclear pore complex
Q5JTZ9,Mitochondrion
P11310,Mitochondrion
P45954,Mitochondrion
P24752,Mitochondrion
Q9NPJ3,Mitochondrion
P54819,Mitochondrion
P27144,Mitochondrion
P51649,Mitochondrion
P49419-2,Mitochondrion
Q8NCW5,Mitochondrion
P25705,Mitochondrion
P06576,Mitochondrion
P36542,Mitochondrion
P24539,Mitochondrion
O75947,Mitochondrion
P56385,Mitochondrion
O75964,Mitochondrion
P48047,Mitochondrion
P12694,Mitochondrion
P21953,Mitochondrion
Q9HA77,Mitochondrion
Q9NX63,Mitochondrion
Q9NZ45,Mitochondrion
O76031,Mitochondrion
P13073,Mitochondrion
P20674,Mitochondrion
P09669,Mitochondrion
P31327,Mitochondrion
P50416,Mitochondrion
O75390,Mitochondrion
P99999,Mitochondrion
P51398,Mitochondrion
Q6PI48,Mitochondrion
P11182,Mitochondrion
P10515,Mitochondrion
P09622,Mitochondrion
P36957,Mitochondrion
Q96EY1-2,Mitochondrion
P23919,Mitochondrion
P30084,Mitochondrion
P42126,Mitochondrion
Q9BQ52,Mitochondrion
P13804,Mitochondrion
P38117,Mitochondrion
P07954-2,Mitochondrion
P00505,Mitochondrion
Q9HAV7,Mitochondrion
P00390,Mitochondrion
Q16836,Mitochondrion
Q16775,Mitochondrion
P53701,Mitochondrion
P38646,Mitochondrion
P10809,Mitochondrion
P61604,Mitochondrion
Q9NSE4,Mitochondrion
O43837,Mitochondrion
Q16891-2,Mitochondrion
P26440,Mitochondrion
O15091,Mitochondrion
Q15031,Mitochondrion
O95202,Mitochondrion
P36776,Mitochondrion
Q8IVS2,Mitochondrion
Q9HCC0,Mitochondrion
P40926,Mitochondrion
P23368,Mitochondrion
Q99797,Mitochondrion
Q9BYD6,Mitochondrion
Q7Z7H8,Mitochondrion
Q9BYD1,Mitochondrion
Q9P015,Mitochondrion
P49406,Mitochondrion
P09001,Mitochondrion
Q9BZE1,Mitochondrion
Q9NYK5,Mitochondrion
Q9BYD3,Mitochondrion
Q9H9J2,Mitochondrion
Q9BRJ2,Mitochondrion
Q9H2W6,Mitochondrion
Q13405,Mitochondrion
Q8N5N7,Mitochondrion
Q9BYD2,Mitochondrion
P82664,Mitochondrion
Q9Y3D3,Mitochondrion
Q9Y676,Mitochondrion
Q9Y399,Mitochondrion
P82650,Mitochondrion
Q9Y3D9,Mitochondrion
Q9BYN8,Mitochondrion
Q92552,Mitochondrion
Q92665,Mitochondrion
P82930,Mitochondrion
P82673,Mitochondrion
P82675,Mitochondrion
Q9Y2R9,Mitochondrion
P82933,Mitochondrion
Q9Y6C9,Mitochondrion
P00403,Mitochondrion
Q6UB35,Mitochondrion
Q96I59,Mitochondrion
O95299,Mitochondrion
Q16795,Mitochondrion
P28331,Mitochondrion
P19404,Mitochondrion
Q9BYT8,Mitochondrion
P04181,Mitochondrion
Q02218,Mitochondrion
P55809,Mitochondrion
P11498,Mitochondrion
P08559,Mitochondrion
P11177,Mitochondrion
O00330,Mitochondrion
P35232,Mitochondrion
Q5JRX3,Mitochondrion
Q10713,Mitochondrion
O75439,Mitochondrion
Q8TCS8,Mitochondrion
O00411,Mitochondrion
Q9H2U2,Mitochondrion
P30405,Mitochondrion
P32322,Mitochondrion
Q8IXI2-2,Mitochondrion
Q9NP81,Mitochondrion
P21912,Mitochondrion
P34897,Mitochondrion
P53007,Mitochondrion
Q9UBX3,Mitochondrion
Q02978,Mitochondrion
Q9UJS0,Mitochondrion
Q6NUK1,Mitochondrion
Q00325-2,Mitochondrion
P05141,Mitochondrion
P12236,Mitochondrion
P04179,Mitochondrion
Q04837,Mitochondrion
Q9P2R7,Mitochondrion
P53597,Mitochondrion
Q96I99,Mitochondrion
Q8IYB8,Mitochondrion
Q9BW92,Mitochondrion
Q00059,Mitochondrion
Q9H5Q4,Mitochondrion
Q3ZCQ8-2,Mitochondrion
Q9NS69,Mitochondrion
O96008,Mitochondrion
O94826,Mitochondrion
Q12931,Mitochondrion
Q7L0Y3,Mitochondrion
P14927,Mitochondrion
P31930,Mitochondrion
P22695,Mitochondrion
P21796,Mitochondrion
P45880,Mitochondrion
Q9Y277,Mitochondrion
Q9Y2Z4,Mitochondrion
Q96TA2,Mitochondrion
P11117,Lysosome
P51798,Lysosome
P10619,Lysosome
P07858,Lysosome
P53634,Lysosome
P07339,Lysosome
Q9UBR2,Lysosome
O00115,Lysosome
P10253,Lysosome
P04062,Lysosome
Q92820,Lysosome
P16278,Lysosome
P15586,Lysosome
P06865,Lysosome
P07686,Lysosome
P13284,Lysosome
