accession,localization
Q9NRX4,CYTOSOL
P34932,CYTOSOL
Q04760,CYTOSOL
P36871,CYTOSOL
Q9BWD1,CYTOSOL
P40925,CYTOSOL
P07195,CYTOSOL
P17174,CYTOSOL
O95336,CYTOSOL
P37837,CYTOSOL
Q9Y617,CYTOSOL
Q14376,CYTOSOL
P00492,CYTOSOL
Q96KP4,CYTOSOL
P49588,CYTOSOL
P61081,CYTOSOL
P48637,CYTOSOL
P31153,CYTOSOL
P12277,CYTOSOL
P15170-2,CYTOSOL
Q13630,CYTOSOL
P49591,CYTOSOL
P51570,CYTOSOL
P29218,CYTOSOL
P15374,CYTOSOL
Q9BUT1,CYTOSOL
Q15102,CYTOSOL
P52888,CYTOSOL
O75663,CYTOSOL
P13798,CYTOSOL
A0AVT1,CYTOSOL
P21399,CYTOSOL
O43765,CYTOSOL
P52788,CYTOSOL
Q9HAB8,CYTOSOL
P19623,CYTOSOL
Q16543,CYTOSOL
P13489,CYTOSOL
P30740,CYTOSOL
P34949,CYTOSOL
O95394,CYTOSOL
Q04446,CYTOSOL
P11766,CYTOSOL
O43847,CYTOSOL
Q96BN8,CYTOSOL
P30711,CYTOSOL
P53602,CYTOSOL
Q3KQV9,CYTOSOL
P16930,CYTOSOL
P07237,ER
Q86UP2,ER
P23284,ER
P30101,ER
P50454,ER
P13667,ER
Q15005,ER
P30040,ER
Q15084-3,ER
P27824,ER
O94905,ER
Q9Y4L1,ER
Q15738,ER
P04843,ER
Q9Y2B0,ER
Q15293,ER
P51572,ER
P60468,ER
Q9Y5M8,ER
O00264,ER
Q9HCN8,ER
Q9BT09,ER
P08240,ER
Q9BS26,ER
P16615,ER
Q8TC12,ER
O75477,ER
Q8NBJ7,ER
Q5JRA6,ER
Q12797,ER
Q9H488,ER
Q8NBS9,ER
O60762,ER
O95881,ER
Q96DZ1,ER
Q9NYU2-2,ER
Q9P0I2,ER
Q9H3N1,ER
Q13724,ER
Q9UGP8,ER
Q9Y4P3,ER
P16435,ER
O95470,ER
Q96JJ7,ER
Q14554,ER
P09601,ER
P14314-2,ER
Q8NBJ5,ER
O95479,ER
P48449,ER
Q6P1M0,ER
O15269,ER
Q96S52,ER
O60568,ER
P43307,ER
Q9NZ01,ER
Q969N2-5,ER
O15270,ER
Q8NBM4,ER
P26885,ER
Q8NBL1,ER
Q9P035,ER
P39656,ER
Q7Z4H8,ER
Q14573,ER
Q7Z2K6,ER
O00400,ER
O43292,ER
Q8TCJ2,ER
Q9UNW1,ER
Q643R3,ER
Q8N5M9,ER
O75356,ER
Q9UBM7,ER
Q6Y288,ER
Q86UL3,ER
Q99442,ER
Q9BZQ6-2,ER
Q86TM6-2,ER
Q2TAA5,ER
Q9H173,ER
O43826,ER
Q8NBJ4-2,GA
Q10471,GA
O95249,GA
O00461,GA
Q13948-2,GA
Q8NBZ7,GA
Q10469,GA
Q86SF2,GA
Q10472,GA
Q92896-3,GA
O94766,GA
O60704,GA
O75063,GA
Q16706,GA
Q9BYC5,GA
O60507,GA
Q8WVQ1-3,GA
O60476,GA
Q92544,GA
Q9HC07,GA
Q8N428,GA
Q9NX62,GA
O94923,GA
Q7LGA3,GA
Q09328,GA
Q8TB61-3,GA
P33908,GA
Q8N6G5,GA
Q8NDZ4,GA
O75354-2,GA
Q86X52,GA
P26572,GA
Q8IZ52,GA
P52848,GA
P07339,LYSOSOME
P07858,LYSOSOME
P04062-4,LYSOSOME
Q13510,LYSOSOME
P11117,LYSOSOME
O60911,LYSOSOME
Q92820,LYSOSOME
P53634,LYSOSOME
Q9UHL4,LYSOSOME
P06280,LYSOSOME
P15586,LYSOSOME
Q8NCC3,LYSOSOME
Q9UBR2,LYSOSOME
P10253,LYSOSOME
O00754,LYSOSOME
P07686,LYSOSOME
P16278-3,LYSOSOME
P17050,LYSOSOME
O00115-2,LYSOSOME
P34059,LYSOSOME
O00584,LYSOSOME
Q14108,LYSOSOME
Q8NHP8,LYSOSOME
P10619-2,LYSOSOME
P07711,LYSOSOME
P42785,LYSOSOME
Q99519,LYSOSOME
P54802,LYSOSOME
