accession,localization
A5PLL7,ER
P0CG08,Golgi
O00139,Cytosol
O00151,Cytosol
O00178,Cytosol
O00217,Mitochondria
O00258,ER
O00303,Dense cytosol
O00400,ER
O00478,Plasma membrane
O00483,Mitochondria
O00623,Peroxisome
O00743,Cytosol
O00748,ER
O00767,ER
O14548,Mitochondria
O15066,Cytosol
O14807,Plasma membrane
O14874,Mitochondria
Q5SRD1,Mitochondria
O14966,Plasma membrane
O15091,Mitochondria
O15116,Nucleus
O15194,Nucleus
O15228,Peroxisome
O15270,ER
O15344,Cytosol
O15347,Nucleus
O15371,Dense cytosol
Q92887,Plasma membrane
Q6A1A2,Cytosol
O43237,Cytosol
O43505,Golgi
O43752,Golgi
O43815,Cytosol
O43861,Golgi
O43896,Cytosol
O60220,Mitochondria
O60237,Cytosol
O60264,Nucleus
O60499,Golgi
O60507,Golgi
O60613,ER
O60704,Golgi
O60711,Cytosol
O60725,ER
O60783,Mitochondria
O60784,Cytosol
O60858,ER
O60930,Cytosol
O75084,Plasma membrane
O75127,Mitochondria
O75150,Nucleus
O75153,Dense cytosol
O75170,Cytosol
O75326,Plasma membrane
O75379,Golgi
O75381,Peroxisome
O75439,Mitochondria
Q8WXF0,Nucleus
O75503,Lysosome
O75570,Mitochondria
O75592,Nucleus
O75607,Nucleus
O75608,Cytosol
O75643,Nucleus
O75648,Mitochondria
O75663,Cytosol
O75694,Nucleus
O75746,Mitochondria
O75822,Cytosol
O75880,Mitochondria
O75907,ER
O75934,Nucleus
O75935,Dense cytosol
O76003,Dense cytosol
O76021,Nucleus
O94776,Nucleus
Q9BZL6,Plasma membrane
O94826,Mitochondria
O94851,Nucleus
Q5TBA9,Cytosol
O94923,Golgi
O94929,Cytosol
O95140,Mitochondria
O95202,Mitochondria
O95208,Cytosol
O95232,Nucleus
O95236,Cytosol
O95248,Nucleus
O95249,Golgi
Q5SVS4,Mitochondria
O95302,ER
O95336,Cytosol
O95363,Mitochondria
O95379,Cytosol
O95427,ER
O95563,Mitochondria
O95716,Plasma membrane
O95881,ER
O96008,Mitochondria
O96011,Peroxisome
O96013,Cytosol
P00156,Mitochondria
P00491,Cytosol
P03886,Mitochondria
P03897,Mitochondria
P03905,Mitochondria
P03915,Mitochondria
P03923,Mitochondria
P04062,Lysosome
P04181,Mitochondria
P04844,ER
P05165,Mitochondria
P05166,Mitochondria
P05455,Nucleus
P07305,Nucleus
P07602,Lysosome
P07814,Dense cytosol
P08069,Plasma membrane
P09914,Dense cytosol
P0C7P0,Mitochondria
P0DJ07,Mitochondria
P10109,Mitochondria
P10253,Lysosome
P11532,Plasma membrane
P12004,Nucleus
P13637,Plasma membrane
P14314,ER
P14854,Mitochondria
P15924,Cytosol
P15954,Mitochondria
P16260,Mitochondria
P17480,Nucleus
P17568,Mitochondria
P17844,Nucleus
P18583,Nucleus
P19388,Nucleus
P19440,Plasma membrane
P20936,Cytosol
P21359,Nucleus
P22087,Nucleus
P23141,ER
P23229,Plasma membrane
P24311,Mitochondria
P26006,Plasma membrane
P27144,Mitochondria
P28288,Peroxisome
P28845,ER
P29218,Cytosol
P29590,ER
P30042,Mitochondria
P30101,ER
P30405,Mitochondria
P31942,Nucleus
P33527,Plasma membrane
P33991,Nucleus
P33993,Nucleus
P35221,Plasma membrane
P35232,Mitochondria
P35250,Nucleus
P35573,Cytosol
P35613,Plasma membrane
P35637,Nucleus
P35659,Nucleus
P35998,Dense cytosol
P36776,Mitochondria
P39210,Mitochondria
P40937,Nucleus
P41214,Cytosol
P41223,Nucleus
P42765,Mitochondria
P43005,Plasma membrane
P43246,Nucleus
P43353,Plasma membrane
P45880,Mitochondria
P46063,Nucleus
P46736,Nucleus
P46926,Cytosol
P48047,Mitochondria
P48163,Cytosol
P49406,Mitochondria
P49590,Mitochondria
P49736,Nucleus
P50579,Cytosol
P51398,Mitochondria
P51452,Nucleus
P51991,Nucleus
P52272,Nucleus
P52434,Nucleus
P52732,Cytosol
P52848,Golgi
P53701,Mitochondria
P53816,Cytosol
P54577,Dense cytosol
P54709,Plasma membrane
P55042,Plasma membrane
P56134,Mitochondria
P56182,Nucleus
P56277,Mitochondria
P56545,Nucleus
P56589,Peroxisome
P56715,Cytosol
P60520,Golgi
P60953,Plasma membrane
P61018,Plasma membrane
P61966,Golgi
P61981,Cytosol
P62070,Plasma membrane
P62072,Mitochondria
P62875,Nucleus
P63104,Cytosol
P78316,Nucleus
P78318,Cytosol
P78383,ER
P78410,Plasma membrane
P82673,Mitochondria
P82912,Mitochondria
P82914,Mitochondria
P83111,Mitochondria
P85037,Nucleus
Q01081,Nucleus
Q01974,Plasma membrane
Q02127,Mitochondria
Q04323,Cytosol
Q04837,Mitochondria
Q05397,Cytosol
Q05682,Cytosol
Q07666,Nucleus
Q08357,Plasma membrane
Q08722,Plasma membrane
Q0VDF9,Cytosol
Q0ZGT2,Cytosol
Q10589,Plasma membrane
Q10713,Mitochondria
Q12765,Dense cytosol
Q12792,Cytosol
Q12800,Nucleus
Q12846,Plasma membrane
Q12893,Golgi
Q12913,Plasma membrane
Q13126,Nucleus
Q13148,Nucleus
Q13185,Nucleus
Q13217,ER
Q13237,Plasma membrane
Q13242,Nucleus
Q13263,Nucleus
Q13310,Dense cytosol
Q13404,Nucleus
Q13423,Mitochondria
Q13427,Nucleus
Q13433,Plasma membrane
Q13438,ER
Q13454,ER
Q13505,Mitochondria
Q13671,Dense cytosol
Q13825,Mitochondria
